,Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
0,2017-07-24 22:17:44.061,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1,2017-07-24 22:17:44.102,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
2,2017-07-24 22:17:44.151,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
3,2017-07-24 22:17:44.198,344,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
4,2017-07-24 22:17:44.244,340,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
5,2017-07-24 22:17:44.291,355,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
6,2017-07-24 22:17:44.339,355,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
7,2017-07-24 22:17:44.385,346,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
8,2017-07-24 22:17:44.431,364,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
9,2017-07-24 22:17:44.477,352,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
10,2017-07-24 22:17:44.525,356,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
11,2017-07-24 22:17:44.571,356,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
12,2017-07-24 22:17:44.620,351,0,0,74,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
13,2017-07-24 22:17:44.667,346,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
14,2017-07-24 22:17:44.714,356,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
15,2017-07-24 22:17:44.759,356,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
16,2017-07-24 22:17:44.806,352,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
17,2017-07-24 22:17:44.854,352,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
18,2017-07-24 22:17:44.900,350,0,0,73,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
19,2017-07-24 22:17:44.946,358,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
20,2017-07-24 22:17:44.994,362,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
21,2017-07-24 22:17:45.041,362,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
