,a1,a2,a3,a4
0,6.84186,4.17358,-3.73527,1.02471
1,0.470408,-11.2805,0.664213,-2.72565
2,-1.23806,-15.445,8.016,-12.1506
3,2.42475,-0.999036,-1.3875,-6.99517
4,-0.604662,1.34391,1.13617,-0.730917
5,4.62835,-3.52176,2.68088,1.22779
6,12.6072,5.2136,-1.83007,0.229987
7,5.31602,3.79341,-9.52123,-0.676148
8,1.3623,0.305099,-11.0493,1.17331
9,-8.49963,2.19683,-3.46832,0.791367
10,-9.42599,3.79748,4.33445,-1.6186
11,-6.84666,1.82643,1.01683,-0.795918
12,-5.70646,2.66865,3.00536,3.20609
13,-0.0135991,-0.560437,4.50013,1.0949
14,10.0687,-6.56862,4.62843,-5.15868
15,8.25628,-8.57492,6.9551,-6.47083
16,7.15285,-5.53538,2.54996,-6.46794
17,12.0941,0.807691,-4.25744,0.179399
18,4.01231,2.69753,-1.94071,4.0246
19,1.10978,1.93842,1.64233,-1.16647
20,-1.07279,3.22954,-5.77829,0.240077
21,-8.81444,4.78504,-4.77037,0.447766
22,-8.6432,-1.82471,-2.57877,5.62586
23,-2.2807,-0.579825,4.75563,-0.738122
24,2.70494,-1.22342,3.13642,-7.27333
25,7.13155,-6.50246,-3.46832,0.339814
26,0.813564,-12.4374,-3.53413,7.32643
27,6.64089,-2.33408,-1.87588,-1.24171
28,-1.73116,9.73666,-2.84889,-4.07267
29,-7.61521,-5.27371,3.486,-6.4038
30,0.285187,-10.7769,2.81111,4.23445
31,-0.770479,14.5825,-5.16011,6.354
32,1.833,11.8682,-4.22544,-0.134223
33,6.16001,-13.8316,1.43705,-1.41725
34,2.20682,-4.22066,-2.80765,0.860406
35,-1.00672,13.7013,-11.6023,2.79763
36,-5.01078,4.5776,1.58466,0.30018
37,-5.47091,-3.20328,6.74374,-1.65723
38,-3.20706,6.31966,1.5063,-2.06439
39,-4.39665,2.69427,2.26728,2.53604
40,0.356016,-1.72465,3.7815,6.47738
41,3.48814,-3.53477,0.91915,1.33027
42,5.48929,-6.46558,6.48093,-5.90411
43,3.25625,-2.13071,7.26881,-4.10049
44,7.45232,3.87693,4.11191,-3.06522
45,6.69449,-0.916873,1.3511,1.61867
46,1.96719,-1.01354,-1.94817,1.73959
47,-0.932902,2.81169,-7.03192,2.19893
48,-6.50609,2.4463,-7.77441,5.2507
49,-10.3871,5.24587,-4.58414,2.53071
50,-6.42997,6.78185,-4.41003,1.6302
51,-6.48343,7.33799,0.737457,4.9659
52,-1.40592,7.89522,1.96114,1.05527
53,5.52416,1.01201,-1.11518,3.72683
54,1.58468,-5.00404,-0.520721,2.1639
55,2.56477,-1.93385,-2.25334,-3.93921
56,1.6661,-3.9872,0.365245,-5.95138
57,-2.63635,-6.30831,5.22164,-1.69383
58,-0.170871,4.01346,1.80166,2.4892
59,0.286268,6.81574,2.34425,2.60696
60,2.87767,0.38794,4.84322,1.08583
61,4.87923,1.01445,1.05738,0.486252
62,3.54309,1.86765,-2.15649,-0.285411
63,2.1136,-0.395164,-2.19967,2.04918
64,-1.44839,2.35289,-1.12305,3.83147
65,-4.69802,4.32705,-0.875413,3.22671
66,-6.74219,3.53473,-0.794294,5.16365
67,-8.58798,4.54913,0.756354,4.14553
68,-7.522,3.64238,0.221628,2.63809
69,-3.7079,-0.0589277,2.79372,0.0599207
70,-0.68975,-3.6393,3.40666,0.0233122
71,4.37405,-2.51982,2.138,2.11908
72,4.91491,-0.193151,1.11477,1.69333
73,5.37992,0.55633,-0.139547,-1.04598
74,2.31564,-2.00083,0.160925,-0.679025
75,-2.45046,0.482846,1.82042,2.30775
76,-4.18905,2.86036,-0.44002,1.31153
77,-4.55827,-0.191253,-1.16927,1.29496
78,-6.67204,-2.31944,-1.58066,1.66407
79,-3.15293,-0.39679,-3.14579,1.50495
80,-1.60566,0.107157,-2.67411,6.02179
81,-3.69053,1.66537,0.297088,8.04362
82,-0.397612,5.25225,2.68611,4.18761
83,-0.806852,4.24679,4.4448,0.510179
84,-0.979043,0.909921,4.19909,-2.81601
85,0.107425,0.880907,-1.33509,0.0638136
86,-1.47485,1.81762,-1.19686,3.96883
87,-1.10768,-2.00476,0.91707,3.79126
88,0.424938,-1.67964,1.67294,3.59611
89,-1.91924,3.05112,-0.326622,1.50985
90,-0.641041,5.99373,-1.51734,0.0492571
91,-3.18292,2.63245,0.680747,0.958707
92,-3.61617,1.12942,4.8079,0.0259085
93,-1.56726,-0.24928,2.97789,0.310418
94,-1.93457,-2.40661,0.649844,0.380464
95,-1.11528,-3.37736,-1.7102,0.114115
96,1.01994,-4.55513,-0.781471,2.33427
97,1.365,-4.92201,3.96525,2.30804
98,2.36042,-2.41976,2.67727,1.42179
99,1.21818,0.819762,0.34399,2.55709
100,-1.3625,1.03669,-1.90238,2.52077
101,-1.05028,2.27073,-1.61888,0.477752
102,-4.4755,2.19467,-1.79284,-0.367561
103,-6.40487,1.69804,-0.257784,1.06306
104,-4.81269,0.77841,0.406621,2.07224
105,-1.17105,2.915,1.30155,1.45249
106,2.06787,3.45447,0.130015,-0.419591
107,6.22974,-0.873214,-0.0850617,5.57716
108,4.1119,-1.3876,-0.169492,7.78362
109,3.0755,2.73671,-2.24755,1.50438
