,Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
0,2017-07-24 22:09:08.721,384,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1,2017-07-24 22:09:08.759,380,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
2,2017-07-24 22:09:08.807,380,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
3,2017-07-24 22:09:08.853,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
4,2017-07-24 22:09:08.900,384,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
5,2017-07-24 22:09:08.946,372,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
6,2017-07-24 22:09:08.993,378,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
7,2017-07-24 22:09:09.042,378,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
8,2017-07-24 22:09:09.087,387,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
9,2017-07-24 22:09:09.135,370,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
10,2017-07-24 22:09:09.182,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
11,2017-07-24 22:09:09.229,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
12,2017-07-24 22:09:09.274,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
13,2017-07-24 22:09:09.322,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
14,2017-07-24 22:09:09.371,392,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
15,2017-07-24 22:09:09.416,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
16,2017-07-24 22:09:09.463,399,0,0,91,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
17,2017-07-24 22:09:09.510,399,0,0,91,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
18,2017-07-24 22:09:09.558,391,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
19,2017-07-24 22:09:09.605,391,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
20,2017-07-24 22:09:09.650,377,0,0,80,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
21,2017-07-24 22:09:09.696,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
22,2017-07-24 22:09:09.744,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
23,2017-07-24 22:09:09.791,392,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
24,2017-07-24 22:09:09.837,392,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
25,2017-07-24 22:09:09.885,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
26,2017-07-24 22:09:09.930,383,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
27,2017-07-24 22:09:09.978,383,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
28,2017-07-24 22:09:10.026,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
29,2017-07-24 22:09:10.072,389,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
30,2017-07-24 22:09:10.119,394,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
31,2017-07-24 22:09:10.165,388,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
32,2017-07-24 22:09:10.213,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
33,2017-07-24 22:09:10.259,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
34,2017-07-24 22:09:10.307,381,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
35,2017-07-24 22:09:10.354,395,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
36,2017-07-24 22:09:10.400,395,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
37,2017-07-24 22:09:10.447,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
38,2017-07-24 22:09:10.494,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
39,2017-07-24 22:09:10.540,376,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
40,2017-07-24 22:09:10.587,370,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
41,2017-07-24 22:09:10.633,376,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
42,2017-07-24 22:09:10.681,403,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
43,2017-07-24 22:09:10.729,403,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
44,2017-07-24 22:09:10.775,399,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
45,2017-07-24 22:09:10.820,376,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
46,2017-07-24 22:09:10.869,372,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
47,2017-07-24 22:09:10.915,372,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
48,2017-07-24 22:09:10.964,382,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
