,a1,a2,a3,a4
0,5.18442,3.81187,6.13919,-3.45186
1,24.1875,-4.5581,0.0578644,3.03233
2,-5.52775,1.13757,1.70977,9.44042
3,-6.59739,-2.92221,4.40492,-3.46079
4,16.5912,5.15125,-5.91986,-9.13945
5,2.17007,3.98121,-7.83416,3.6737
6,-25.7883,1.65752,3.79308,0.809298
7,8.92891,6.4661,-1.97881,-4.32398
8,16.5604,-3.00993,-8.77931,3.21711
9,-17.174,2.56861,-1.77394,8.49537
10,-15.4929,-0.135379,-4.07232,-0.629822
11,13.6615,-0.652478,-2.87043,-1.59606
12,0.630397,-2.20337,3.64077,0.96049
13,-13.9216,5.65086,4.04471,2.00571
14,4.44911,-4.34511,2.0984,-5.0315
15,11.604,-0.159241,-0.876112,-0.224388
16,-0.479681,-1.80544,-4.9187,4.64412
17,-10.9842,-0.456159,2.62154,-1.25462
18,10.8568,1.92637,-0.588607,-1.88936
19,10.5093,0.554448,-3.83393,3.97076
20,-10.1033,0.458322,1.39371,0.97332
21,-5.6268,-0.328985,0.597142,-7.7463
22,12.6559,-3.11649,-11.652,4.28135
23,-12.4542,1.44615,-6.86528,15.7355
24,-22.2662,0.114765,7.5665,5.1369
25,9.58945,2.44537,3.81446,-5.08872
26,11.0682,-3.90014,-0.0435352,3.08466
27,-20.8549,-2.51398,8.89063,-1.007
28,-0.23734,-4.0551,-0.266613,2.8591
29,21.2155,-4.26105,-5.75224,8.94376
30,-13.585,-0.941395,2.88324,3.7501
31,-8.49555,-1.73643,-5.22938,0.600318
32,0.364308,10.7844,-8.85809,1.40614
33,-6.72141,2.88465,2.16448,-4.52243
34,1.19039,6.29107,1.68066,-6.08291
35,10.9421,2.90403,-2.66281,6.03612
36,-9.05622,4.51539,1.31549,12.7214
37,-7.47978,-3.88807,5.24219,5.71529
38,10.9625,-2.08338,0.227552,-7.18679
39,-4.54454,-6.05869,-0.661311,-3.56484
40,-16.4464,-1.21499,6.79435,-2.7511
41,9.68402,-3.58708,2.65685,6.04376
42,17.1851,-1.02288,1.58713,9.19512
43,-8.98092,-3.9987,3.05583,0.684492
44,-9.73684,7.74746,-3.99562,-3.72915
45,-2.383,4.94491,-8.60121,-2.41585
46,-9.72178,3.8958,1.2352,-3.73434
47,-5.39192,3.99423,3.98677,-0.967794
48,19.0921,-4.38076,2.49958,1.34907
49,8.8228,0.853944,-1.42339,6.57487
50,-7.27693,-3.4092,0.848363,8.59598
51,-6.21949,2.87977,0.0668308,-0.819053
52,4.48398,-2.83692,-4.31775,-3.09239
53,-11.7697,6.33147,0.6337,-3.56859
54,-9.95978,5.47163,2.18545,1.47634
55,8.40447,4.39256,0.646944,1.5435
56,8.18777,-2.1334,3.19627,3.25877
57,1.0011,4.72351,2.19359,6.01162
58,-1.98448,-3.9625,-2.62266,2.09825
59,0.754143,3.99328,-7.92259,1.40946
60,-13.3568,2.37311,-3.71984,-1.69809
61,-6.72792,-4.95453,-0.502936,-1.95017
62,5.53191,6.56291,-2.35544,4.37274
63,1.7231,0.443411,4.64317,3.49356
64,-0.838312,1.22475,1.46766,0.961223
65,2.29978,1.62078,-0.601438,0.834102
66,-5.01416,-1.23058,1.86028,-3.27817
67,-0.760155,-1.22787,-1.55997,2.17334
68,-2.14718,-2.33609,1.11614,-1.22463
69,1.49827,-2.6261,2.13579,-2.51414
70,1.94387,-2.77551,-1.65171,0.201092
71,-0.592714,-1.38731,3.65608,-2.38356
72,3.63863,0.931632,2.50055,0.36021
73,4.22305,-2.03158,0.138155,0.62555
74,0.209891,-2.28593,-2.34633,-6.4265
75,-5.62165,3.78069,-9.13952,-0.42918
76,-10.603,2.60237,-1.28295,9.95555
77,-4.38945,2.04053,9.58028,4.7665
78,17.128,2.06182,9.0341,-10.4794
79,5.22919,-0.453579,-0.145211,-10.3203
80,-19.1927,3.24719,0.920376,-3.34331
81,5.05849,-11.8079,-1.88279,4.86797
82,22.7523,1.35694,1.69653,15.817
83,1.08889,-4.57233,5.54514,1.69153
84,-5.78393,-1.18638,-8.59486,-8.60558
85,-5.51432,9.1987,-16.1649,-6.6045
86,-17.0345,-0.412905,2.15717,-7.51078
87,9.53937,3.25248,-0.843555,1.21115
88,19.1618,4.55864,1.66521,3.49068
89,-3.89649,3.03487,5.14258,-0.683563
90,-3.38412,3.2038,-4.73728,5.16127
91,-2.66293,-0.0111838,3.64408,-7.78332
92,1.03515,-12.3997,3.75969,-11.5488
93,5.09798,-3.54559,-1.83534,3.6204
94,-5.18948,-2.36795,7.42496,-1.48275
95,8.90909,-2.51723,2.59312,0.917704
96,16.9754,0.583059,0.878299,4.27215
97,-6.72616,2.68738,7.33556,-9.83931
98,-0.912129,-4.70235,-13.8286,-9.06635
99,0.957133,14.4847,-15.6204,0.383277
100,-21.2542,-1.39599,0.342194,2.09567
101,8.4506,1.32603,-3.10579,3.3578
102,23.6682,2.35359,-0.685869,2.58916
103,-9.94635,-2.43723,9.92614,0.0480355
104,-9.14605,-6.70215,6.03572,-1.26036
105,15.6658,-7.87409,2.17469,-5.76841
106,-0.0139991,-5.32548,5.05318,-7.5677
107,-7.36201,-9.52707,-0.548601,-2.65048
108,3.11121,2.56685,-5.2182,-2.31696
109,10.547,-4.9609,-5.49909,1.77959
110,1.28727,3.79506,-2.49036,2.78777
111,-3.87926,1.98346,-0.26151,0.247655
112,7.69453,-4.04724,-3.00453,-4.35782
113,0.182751,6.84763,-1.55225,-2.00838
114,-5.40943,-0.81015,1.85959,-4.00024
115,5.43856,-8.58181,-2.55479,0.983287
116,3.46196,-4.28653,0.3404,3.58423
117,-4.45906,-0.680265,5.6224,-1.01981
118,4.60366,0.133752,1.69239,-0.976857
119,0.694436,0.414129,2.154,-4.81932
120,-4.98784,3.84672,5.14906,-7.49607
121,4.15344,2.30817,0.343159,-6.10595
122,8.50284,-1.11764,-2.73648,0.775744
123,3.50009,2.16635,-5.23062,5.5572
124,-2.47772,2.82188,-2.2986,1.48255
125,4.7422,-2.43506,-3.993,-1.16163
126,1.29378,0.47853,-2.21596,0.294068
127,-6.27364,-1.80137,3.48626,-2.23365
128,-0.0616274,-2.42842,2.22035,-4.14739
129,7.09166,-8.45545,0.86671,-5.25401
130,1.8691,-0.924713,-1.32986,2.44879
131,-9.1546,5.45781,1.28486,13.3168
132,-6.71151,-8.16504,8.63444,0.00984832
133,9.53164,-5.08292,2.82447,-11.6212
